Gender,Age,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,STOPD11,STOPD21,STOPD31,STOPD41,STOPD51,Vitality1,Vitality2,Vitality3,Vitality,Health,NSNFAF,NSNFAS,NSNFSF,NSNFSS,NSNFCF,NSNFCS
Woman,41,81,33,93,85,95,87,97,88,18,83,93,85,79,91,88,84,83,88,36,37,37,0,4,73,88,81,80.67,5,2,4,3,3,4,3
Man,22,100,NA,50,80,82,43,78,45,85,91,22,88,27,100,83,52,NA,100,NA,20,18,36,0,100,100,100,100.00,1,1,5,5,2,1,2
Woman,22,71,87,96,68,48,68,77,57,72,74,68,74,89,100,72,79,66,100,70,40,100,15,70,18,7,28,17.67,2,3,3,3,4,4,3
Woman,67,48,5,1,16,1,21,1,20,2,10,2,2,10,0,2,20,1,1,2,3,3,8,0,70,39,55,54.67,2,1,4,1,5,2,4
Woman,25,100,23,100,100,7,65,96,100,73,100,100,41,100,55,100,100,39,100,84,88,100,36,69,84,42,26,50.67,1,4,2,4,3,2,5
Man,39,70,71,73,72,10,62,74,62,60,77,73,71,66,73,79,71,72,74,74,76,58,61,64,63,72,73,69.33,2,3,3,3,3,3,3
Man,27,81,9,50,3,2,100,3,100,7,91,100,1,100,2,54,100,2,3,2,2,2,2,2,92,98,95,95.00,5,3,4,1,3,1,5
Woman,20,100,3,4,5,8,13,9,11,12,7,8,7,8,11,10,9,8,11,4,6,6,6,8,10,10,9,9.67,2,1,1,1,1,1,1
Man,47,62,11,23,24,63,15,55,49,84,35,49,9,53,12,24,15,14,16,14,53,58,42,32,31,61,26,39.33,2,4,2,3,4,3,3
Man,46,57,53,71,69,55,79,79,69,59,67,70,33,73,68,81,80,35,59,52,38,59,71,61,58,59,58,58.33,2,3,4,2,4,3,3
Woman,58,66,12,45,8,20,74,18,83,100,70,68,19,63,8,55,51,2,NA,39,0,39,46,0,100,100,75,91.67,5,3,3,1,5,1,3
Man,51,0,0,0,0,0,0,0,0,100,100,100,85,71,77,82,NA,86,66,NA,88,NA,NA,NA,39,75,56,56.67,1,1,1,1,1,1,1
